5334198496	true	976	63	51	2047	1542	42	10011	5406	7254	8686	108	15328	4875	7710	9678	111	10531	476	5058	5319	86	8566	1090	5677	5270	126	11386	2604	7954	7889	1	5238	17	5254	5010	121	6933	0	3546	2358	96	6304	0	3529	3822	106	11948	0	5042	4148	84	4227	0	2846	1968	
5334214753	false	1132	63	63	1846	2047	129	6222	383	6697	5773	65	12528	0	7546	5603	50	4925	0	3377	3075	121	5314	0	4301	2924	93	5571	0	7433	7263	49	9308	841	9735	7735	10	11807	3855	10508	10376	9	8439	78	7810	6112	2	6268	81	6961	7773	128	9788	0	5527	4924	
5334215697	true	1257	63	63	1974	1828	31	7075	0	5614	5488	10	13445	8065	13177	12989	110	10268	43	7898	6243	32	15889	441	11208	10914	96	7361	820	11417	9741	8	6183	583	8421	7374	128	4011	16	3959	4629	2	8492	0	8233	8589	45	7624	1744	5886	4420	126	7941	44	8044	6997	
5334221945	false	1358	3	63	516	2047	87	5531	0	3666	2987	96	6110	0	5590	4820	52	12940	351	9573	7853	10	4345	0	11543	8464	86	7783	0	6043	4504	90	3082	335	6405	6246	98	9957	3666	8985	9506	70	16301	8005	11271	14304	11	17125	3412	16499	14485	107	8159	1372	7197	6948	
5334224794	false	1472	48	63	1792	1982	53	8647	420	4882	5397	79	5789	0	6525	5814	12	11647	543	14155	12880	23	11330	0	11530	9837	43	9431	144	6918	6305	68	11775	427	8562	7482	120	16085	166	13689	12855	9	13034	830	12045	8292	96	12646	11842	14842	14302	63	27219	6903	17418	16805	
5334233458	false	1877	59	63	1792	1974	90	7000	0	8665	7195	94	17929	1812	16048	14797	78	9622	564	12137	10386	86	13762	44	10636	6632	106	26582	248	15109	13576	54	25827	11890	23837	19771	84	4553	0	9510	7789	39	14963	1297	16173	16236	121	13832	329	16486	12607	120	14025	498	18988	13420	
5334251791	false	1874	0	63	1024	1574	82	15260	6543	18021	19114	93	12309	344	15148	14679	128	16401	179	10057	9619	90	14112	137	11993	10119	106	24771	180	10119	9869	41	20974	6047	18333	17490	66	5375	987	15366	9026	59	35025	15261	23425	21332	96	25749	5494	18740	13211	86	14947	443	13149	8776	
5334266407	false	1561	51	63	260	2047	129	8439	29	7961	7336	13	11731	0	10848	8117	8	6047	0	10666	8923	59	6099	0	12982	9313	128	8764	0	7258	4604	12	16433	7540	18263	16806	87	6781	233	10822	6894	47	17433	4296	16572	14595	126	16084	2068	15792	15063	110	13079	243	14075	9548	
5334300395	false	1956	3	63	0	2038	84	7307	0	10464	7661	46	25965	886	26373	22689	86	18768	0	10692	8476	49	16791	1179	17441	12714	129	18791	113	15811	10823	42	40252	9948	27416	24678	121	13938	459	14311	11312	96	20643	7741	19429	15876	26	10467	770	14344	9617	126	30231	4684	22461	18973	
5334321470	false	1890	3	63	1540	2036	49	10395	754	11907	10773	10	20545	1918	16789	15687	110	15540	40	10773	6709	104	10105	544	11151	10647	84	8573	0	8253	5229	129	23776	2155	21105	14805	106	36058	1857	20853	18648	9	13464	1062	14868	10899	128	11054	136	11151	9702	42	26723	12806	22081	20569	
